label,fallacy_example,non-fallacy_example
faulty generalization,"""A Annie le debe gustar Starbucks porque a todas las chicas blancas les gusta Starbucks"".",A Annie le debe gustar Starbucks porque a ella le gustan las bebidas dulces y Starbucks tiene muchas opciones de bebidas dulces.
faulty generalization,"Este año hace más calor en Las Vegas que el año pasado; por lo tanto, el calentamiento global se está acelerando rápidamente.","El año pasado hacía más calor en Las Vegas que este año; por lo tanto, el calentamiento global se está ralentizando."
faulty generalization,"""Los dos cursos que tomé en la UF no fueron muy interesantes. No creo que sea una buena universidad"".",Los dos cursos que tomé en la UF me parecieron aburridos. No tengo una opinión formada sobre si la UF es una buena universidad o no.
faulty generalization,Un conductor con matrícula de Nueva York te corta el paso en el tráfico. Decides que todos los conductores de Nueva York son pésimos conductores.,Un conductor con matrícula de Nueva York te corta el paso en el tráfico. Esto no significa que todos los conductores de Nueva York sean pésimos conductores.
faulty generalization,¿Nadie en tu familia hace surf? Pero pensé que habías dicho que vivías en California antes de esto.,¿Nadie en tu familia hace surf? Pero tal vez vivieron en California en un momento de su vida y eso fue lo que te hizo pensar que lo hacían.
faulty generalization,Todas las mujeres son malas conductoras.,"o todas las mujeres son malas conductores, hay muchas que manejan muy bien."
faulty generalization,Visitas un nuevo país y la primera persona que conoces en el aeropuerto es maleducada. Envías un mensaje a un amigo de tu país diciendo que todo el mundo en este nuevo país es maleducado.,Visitas un nuevo país y la primera persona que conoces en el aeropuerto es maleducada. No puedes generalizar sobre todo un país basándote en una sola experiencia.
faulty generalization,Los abuelos de Kevin no saben utilizar el ordenador. Kevin piensa que todas las personas mayores deben ser analfabetas informáticas.,Los abuelos de Kevin no saben utilizar el ordenador. Kevin no puede generalizar que todas las personas mayores deben ser analfabetas informáticas.
faulty generalization,Decir que los hombres nunca preguntan por una dirección,Decir que algunos hombres nunca preguntan por una dirección.
faulty generalization,"Si llevas una buena dieta, nunca tendrás un ataque al corazón.","Si llevas una buena dieta, puedes reducir el riesgo de sufrir un ataque al corazón."
faulty generalization,Todo el mundo sabe que los adolescentes son perezosos,No todos los adolescentes son perezosos.
faulty generalization,"MeowMeowTweet es un cuidado de la piel hecho en Estados Unidos. Lo usé, y me dio granos. El cuidado de la piel hecho en Estados Unidos le da a la gente acné.","MeowMeowTweet es un cuidado de la piel. Lo usé, y me dio granos. Los productos de cuidado de la piel no siempre son efectivos para todas las personas."
faulty generalization,"Todos los profesores beben café y los profesores son personas; por lo tanto, todas las personas beben café.","Todos los profesores beben café y no todas las personas son profesores; por lo tanto, no todas las personas beben café."
faulty generalization,Todos los niños de cuatro años hablan demasiado.,No todos los niños de cuatro años hablan demasiado.
